id_1,id_2,n,matches
ANCS,COMM,10,"Network protocols#Packet-switching networks#Network performance evaluation#Network services#Networks#Dependable and fault-tolerant systems and networks#Performance#Network architectures#Network monitoring#Communication hardware, interfaces and storage"
ANCS,CoNEXT,8,"Network protocols#Network performance evaluation#Networks#Dependable and fault-tolerant systems and networks#Performance#Network architectures#Network monitoring#Communication hardware, interfaces and storage"
ANCS,CPSWeek,5,"Real-time systems#Performance#Communication hardware, interfaces and storage#Embedded and cyber-physical systems#Networks"
ANCS,DAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,DEBS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,DS-RT,6,Embedded and cyber-physical systems#Network performance evaluation#General and reference#Dependable and fault-tolerant systems and networks#Performance#Real-time systems
ANCS,ESWEEK,5,"Real-time systems#Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Embedded and cyber-physical systems"
ANCS,EuroSys,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,FPGA,2,Real-time systems#Embedded and cyber-physical systems
ANCS,HotMobile,8,"Embedded and cyber-physical systems#Network performance evaluation#Networks#Dependable and fault-tolerant systems and networks#Performance#Network architectures#Real-time systems#Communication hardware, interfaces and storage"
ANCS,HPDC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,ICAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,ICCAD,1,Performance
ANCS,ICE,7,"Network protocols#Network performance evaluation#Networks#Network services#Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage"
ANCS,ICPE,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,ICS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,ICUIMC,5,"Performance#Communication hardware, interfaces and storage#Network protocols#Network architectures#Networks"
ANCS,IMC,7,"Network protocols#Network services#Networks#Performance#Network architectures#Network monitoring#Communication hardware, interfaces and storage"
ANCS,ISCA,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,ISLPED,5,Real-time systems#Dependable and fault-tolerant systems and networks#Performance#Embedded and cyber-physical systems#Network performance evaluation
ANCS,METRICS,7,"Network protocols#Network performance evaluation#Networks#Dependable and fault-tolerant systems and networks#Performance#Network architectures#Communication hardware, interfaces and storage"
ANCS,MICRO,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,Middleware,6,"Network performance evaluation#Networks#Dependable and fault-tolerant systems and networks#Performance#Network architectures#Communication hardware, interfaces and storage"
ANCS,MobiCom,9,"Network protocols#Embedded and cyber-physical systems#Network performance evaluation#Networks#Dependable and fault-tolerant systems and networks#Performance#Network architectures#Real-time systems#Communication hardware, interfaces and storage"
ANCS,MobiHoc,5,"Performance#Communication hardware, interfaces and storage#Network protocols#Network architectures#Networks"
ANCS,MobiSys,6,"Network protocols#Embedded and cyber-physical systems#Networks#Network architectures#Real-time systems#Communication hardware, interfaces and storage"
ANCS,MSWiM,6,"Network protocols#Network performance evaluation#Networks#Performance#Network architectures#Communication hardware, interfaces and storage"
ANCS,NOSSDAV,6,"Network protocols#Networks#Dependable and fault-tolerant systems and networks#Performance#Network architectures#Communication hardware, interfaces and storage"
ANCS,PACT,1,Performance
ANCS,PADS,4,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation#Network protocols
ANCS,PODC,4,Dependable and fault-tolerant systems and networks#Performance#Network protocols#Network architectures
ANCS,PPoPP,1,Performance
ANCS,SAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,SBCCI,3,"Real-time systems#Communication hardware, interfaces and storage#Embedded and cyber-physical systems"
ANCS,SC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,SenSys,8,"Network protocols#Embedded and cyber-physical systems#Network performance evaluation#Networks#Performance#Network architectures#Real-time systems#Communication hardware, interfaces and storage"
ANCS,SIGGRAPH,1,General and reference
ANCS,SLIP,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,SOSP,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ANCS,SPAA,1,Performance
ANCS,UbiComp,2,Real-time systems#Embedded and cyber-physical systems
ANCS,UCCS,1,Network architectures
ANCS,VALUETOOLS,5,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation#Network protocols#Network architectures
ANCS,VEE,1,Performance
ANCS,WISEC,4,"Network security#Communication hardware, interfaces and storage#Network protocols#Networks"
APGV,ASSETS,1,Human computer interaction
APGV,AUS-CE,1,Human computer interaction
APGV,C&C,3,Human computer interaction#Psychology#Virtual reality
APGV,CHI,2,Human computer interaction#Virtual reality
APGV,CPR,1,Human computer interaction
APGV,CSCW,1,Human computer interaction
APGV,CSE,1,Human computer interaction
APGV,DOC,1,Human computer interaction
APGV,DS-RT,2,Mixed / augmented reality#Virtual reality
APGV,EC,1,Human computer interaction
APGV,EICS,1,Human computer interaction
APGV,ESEM,3,Human computer interaction#Mixed / augmented reality#Virtual reality
APGV,ETRA,8,Human computer interaction#Scene understanding#Computer vision#Image manipulation#Computer vision problems#Cognitive science#Psychology#Virtual reality
APGV,GIS,1,Human computer interaction
APGV,GROUP,1,Human computer interaction
APGV,HotMobile,1,Human computer interaction
APGV,HPG,6,Graphics systems and interfaces#3D imaging#Animation#Image manipulation#Computer graphics#Rendering
APGV,HRI,3,Human computer interaction#Cognitive science#Psychology
APGV,HT,1,Human computer interaction
APGV,I3D,7,Graphics systems and interfaces#3D imaging#Animation#Image manipulation#Computer graphics#Rendering#Virtual reality
APGV,ICMI-MLMI,6,Human computer interaction#Scene understanding#Computer vision#Cognitive science#Psychology#Virtual reality
APGV,ICUIMC,2,Human computer interaction#Computer vision
APGV,IH&MMSec,2,Image manipulation#Computer vision
APGV,ITiCSE,1,Human computer interaction
APGV,IUI,1,Human computer interaction
APGV,JCDL,1,Human computer interaction
APGV,MM,5,Computer vision problems#Human computer interaction#Scene understanding#Virtual reality#Computer vision
APGV,MobiSys,1,Human computer interaction
APGV,NPAR,6,Graphics systems and interfaces#3D imaging#Animation#Image manipulation#Computer graphics#Rendering
APGV,PLoP,1,Human computer interaction
APGV,RecSys,1,Human computer interaction
APGV,SACMAT,1,Human computer interaction
APGV,SCA,6,Graphics systems and interfaces#3D imaging#Animation#Image manipulation#Computer graphics#Rendering
APGV,SIGGRAPH,7,Graphics systems and interfaces#3D imaging#Animation#Image manipulation#Computer graphics#Rendering#Virtual reality
APGV,SUI,3,Human computer interaction#Mixed / augmented reality#Virtual reality
APGV,TEI,2,Human computer interaction#Virtual reality
APGV,UbiComp,2,Human computer interaction#Cognitive science
APGV,UCCS,1,Human computer interaction
APGV,UIST,3,Human computer interaction#Graphics systems and interfaces#Virtual reality
APGV,VRST,11,Human computer interaction#Mixed / augmented reality#Graphics systems and interfaces#3D imaging#Scene understanding#Animation#Image manipulation#Computer vision problems#Computer graphics#Rendering#Virtual reality
APGV,Web3D,7,Mixed / augmented reality#Graphics systems and interfaces#3D imaging#Animation#Image manipulation#Computer graphics#Virtual reality
APGV,WebSci,1,Human computer interaction
APGV,WSDM,1,Human computer interaction
APGV,WWW,1,Human computer interaction
ASE,ASPLOS,1,Software testing and debugging
ASE,CPSWeek,1,Formal software verification
ASE,DEBS,1,Software architectures
ASE,EICS,3,Software development process management#Designing software#Software design techniques
ASE,ESEM,2,Software development process management#Software testing and debugging
ASE,ESWEEK,1,Designing software
ASE,FSE,11,Software development process management#Designing software#Formal software verification#Software post-development issues#Verification#Software maintenance#Software design techniques#Software verification#Program verification#Software architectures#Software testing and debugging
ASE,GPCE,5,Software testing and debugging#Software development process management#Designing software#Software architectures#Software design techniques
ASE,ICAC,2,Designing software#Software architectures
ASE,ICER,1,Software testing and debugging
ASE,ICFP,1,Software testing and debugging
ASE,ICPE,2,Software development process management#Software architectures
ASE,ICSE,9,Software development process management#Designing software#Formal software verification#Software post-development issues#Software maintenance#Software design techniques#Requirements analysis#Software testing and debugging#Software architectures
ASE,IH&MMSec,1,Software architectures
ASE,ISSTA,8,Software development process management#Formal software verification#Software verification and validation#Verification#Software design techniques#Software verification#Software testing and debugging#Program verification
ASE,Middleware,1,Software architectures
ASE,PEPM,1,Software development process management
ASE,PLDI,6,Software development process management#Formal software verification#Verification#Software verification#Program verification#Software testing and debugging
ASE,PLoP,4,Software development process management#Designing software#Software architectures#Software design techniques
ASE,POPL,4,Verification#Software development process management#Program verification#Formal software verification
ASE,PPoPP,1,Software testing and debugging
ASE,SAC,3,Software development process management#Designing software#Software architectures
ASE,SOSP,1,Designing software
ASE,SPLASH,5,Software testing and debugging#Software development process management#Designing software#Software architectures#Software design techniques
ASE,UIST,1,Software development process management
ASE,VEE,2,Designing software#Software testing and debugging
ASIA CCS,CCS,13,Authentication#Cryptography#Network security#Access control#Public key encryption#Data encryption#Computational complexity and cryptography#Operating systems security#Intrusion/anomaly detection and malware mitigation#Cryptanalysis and other attacks#Security and privacy#Computer crime#Public key techniques
ASIA CCS,CODASPY,8,Authentication#Network security#Access control#Operating systems security#Intrusion/anomaly detection and malware mitigation#Cryptanalysis and other attacks#Security and privacy#Computer crime
ASIA CCS,EuroSys,3,Security and privacy#Computer crime#Operating systems security
ASIA CCS,HotMobile,1,Operating systems security
ASIA CCS,ICUIMC,1,Operating systems security
ASIA CCS,IH&MMSec,5,Authentication#Cryptography#Information theory#Security and privacy#Computer crime
ASIA CCS,ITE,3,Security and privacy#Computer crime#Intrusion/anomaly detection and malware mitigation
ASIA CCS,SACMAT,7,Authentication#Access control#Operating systems security#Intrusion/anomaly detection and malware mitigation#Cryptanalysis and other attacks#Security and privacy#Computer crime
ASIA CCS,SODA,1,Computational complexity and cryptography
ASIA CCS,SOSP,1,Operating systems security
ASIA CCS,STOC,1,Computational complexity and cryptography
ASIA CCS,UCCS,1,Computer crime
ASIA CCS,VEE,1,Operating systems security
ASIA CCS,WISEC,8,Authentication#Network security#Access control#Operating systems security#Intrusion/anomaly detection and malware mitigation#Cryptanalysis and other attacks#Security and privacy#Computer crime
ASPDAC,ASPLOS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,CF,4,Robustness#Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,CGO,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,COMM,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,CoNEXT,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,CPSWeek,1,Performance
ASPDAC,DAC,11,Hardware test#Network performance evaluation#Integrated circuits#Physical design#Robustness#Dependable and fault-tolerant systems and networks#Performance#Placement#Computer-aided design#Emerging technologies#Very large scale integration design
ASPDAC,DEBS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,DS-RT,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,ESWEEK,4,Dependable and fault-tolerant systems and networks#Performance#Hardware validation#Computer-aided design
ASPDAC,EuroSys,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,FPGA,7,Hardware test#Physical design#Robustness#Wire routing#Placement#Emerging technologies#Very large scale integration design
ASPDAC,GLSVLSI,10,Hardware test#Integrated circuits#Physical design#Robustness#Wire routing#Placement#Hardware validation#Computer-aided design#Emerging technologies#Very large scale integration design
ASPDAC,HotMobile,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,HPDC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,ICAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,ICCAD,11,Hardware test#Integrated circuits#Physical design#Robustness#Performance#Placement#Wire routing#Hardware validation#Computer-aided design#Emerging technologies#Very large scale integration design
ASPDAC,ICE,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,ICPE,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,ICS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,ICUIMC,1,Performance
ASPDAC,IMC,1,Performance
ASPDAC,ISCA,4,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation#Hardware validation
ASPDAC,ISLPED,10,Network performance evaluation#Integrated circuits#Physical design#Robustness#Dependable and fault-tolerant systems and networks#Performance#Hardware validation#Electronics#Emerging technologies#Very large scale integration design
ASPDAC,ISPD,9,Integrated circuits#Physical design#Robustness#Wire routing#Placement#Hardware validation#Computer-aided design#Emerging technologies#Very large scale integration design
ASPDAC,METRICS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,MICRO,6,Hardware#Network performance evaluation#Integrated circuits#Dependable and fault-tolerant systems and networks#Performance#Hardware validation
ASPDAC,Middleware,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,MobiCom,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,MobiHoc,1,Performance
ASPDAC,MSWiM,2,Performance#Network performance evaluation
ASPDAC,Nanoarch,7,Hardware test#Physical design#Robustness#Hardware validation#Electronics#Emerging technologies#Very large scale integration design
ASPDAC,NOSSDAV,2,Dependable and fault-tolerant systems and networks#Performance
ASPDAC,PACT,2,Performance#Hardware validation
ASPDAC,PADS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,PODC,2,Dependable and fault-tolerant systems and networks#Performance
ASPDAC,PPoPP,1,Performance
ASPDAC,SAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,SBCCI,8,Hardware test#Hardware#Integrated circuits#Physical design#Robustness#Hardware validation#Emerging technologies#Very large scale integration design
ASPDAC,SC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,SenSys,2,Performance#Network performance evaluation
ASPDAC,SLIP,10,Network performance evaluation#Physical design#Wire routing#Dependable and fault-tolerant systems and networks#Performance#Placement#Hardware validation#Computer-aided design#Emerging technologies#Very large scale integration design
ASPDAC,SOSP,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,SPAA,1,Performance
ASPDAC,VALUETOOLS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPDAC,VEE,1,Performance
ASPLOS,CF,10,"Parallel architectures#Concurrent programming languages#Dynamic memory#Parallel programming languages#Architectures#Compilers#Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance#Multiple instruction, multiple data"
ASPLOS,CGO,6,Parallel programming languages#Compilers#Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance#Memory management
ASPLOS,COMM,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,CoNEXT,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,CPSWeek,3,"Compilers#Performance#Communication hardware, interfaces and storage"
ASPLOS,DAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,DEBS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,DS-RT,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,ESEM,1,Software testing and debugging
ASPLOS,ESWEEK,4,"Compilers#Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage"
ASPLOS,EuroSys,6,Concurrent programming languages#Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance#File systems management#Operating systems
ASPLOS,FSE,1,Software testing and debugging
ASPLOS,GPCE,2,Compilers#Software testing and debugging
ASPLOS,HotMobile,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,HPDC,5,Dependable and fault-tolerant systems and networks#Performance#Concurrent programming languages#Network performance evaluation#Parallel programming languages
ASPLOS,ICAC,5,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation#File systems management#Operating systems
ASPLOS,ICCAD,1,Performance
ASPLOS,ICE,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,ICER,1,Software testing and debugging
ASPLOS,ICFP,4,Compilers#Concurrent programming languages#Parallel programming languages#Software testing and debugging
ASPLOS,ICPE,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,ICS,9,"Parallel architectures#Concurrent programming languages#Parallel programming languages#Architectures#Compilers#Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance#Multiple instruction, multiple data"
ASPLOS,ICSE,1,Software testing and debugging
ASPLOS,ICUIMC,2,"Performance#Communication hardware, interfaces and storage"
ASPLOS,IMC,2,"Performance#Communication hardware, interfaces and storage"
ASPLOS,ISCA,8,"Parallel architectures#Dynamic memory#Architectures#Compilers#Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance#Multiple instruction, multiple data"
ASPLOS,ISLPED,4,Dependable and fault-tolerant systems and networks#Performance#Dynamic memory#Network performance evaluation
ASPLOS,ISMM,4,Compilers#Concurrent programming languages#Memory management#File systems management
ASPLOS,ISSTA,3,Concurrent programming languages#Parallel programming languages#Software testing and debugging
ASPLOS,METRICS,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,MICRO,6,Dynamic memory#Architectures#Compilers#Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance
ASPLOS,Middleware,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,MobiCom,4,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,MobiHoc,2,"Performance#Communication hardware, interfaces and storage"
ASPLOS,MobiSys,1,"Communication hardware, interfaces and storage"
ASPLOS,MSWiM,3,"Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,Nanoarch,1,Parallel architectures
ASPLOS,NOSSDAV,3,"Dependable and fault-tolerant systems and networks#Performance#Communication hardware, interfaces and storage"
ASPLOS,PACT,8,"Parallel architectures#Concurrent programming languages#Dynamic memory#Parallel programming languages#Architectures#Compilers#Performance#Multiple instruction, multiple data"
ASPLOS,PADS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,PEPM,1,Compilers
ASPLOS,PLDI,4,Compilers#Concurrent programming languages#Parallel programming languages#Software testing and debugging
ASPLOS,PODC,4,Dependable and fault-tolerant systems and networks#Performance#Concurrent programming languages#Parallel programming languages
ASPLOS,POPL,1,Compilers
ASPLOS,PPoPP,7,"Parallel architectures#Concurrent programming languages#Parallel programming languages#Compilers#Performance#Multiple instruction, multiple data#Software testing and debugging"
ASPLOS,SAC,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,SBCCI,1,"Communication hardware, interfaces and storage"
ASPLOS,SC,8,Parallel architectures#Concurrent programming languages#Parallel programming languages#Architectures#Compilers#Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance
ASPLOS,SenSys,3,"Performance#Communication hardware, interfaces and storage#Network performance evaluation"
ASPLOS,SLIP,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,SOSP,6,Network performance evaluation#Dependable and fault-tolerant systems and networks#Performance#File systems management#Operating systems#Memory management
ASPLOS,SPAA,4,Parallel architectures#Performance#Concurrent programming languages#Parallel programming languages
ASPLOS,SPLASH,4,Compilers#Concurrent programming languages#Parallel programming languages#Software testing and debugging
ASPLOS,VALUETOOLS,3,Dependable and fault-tolerant systems and networks#Performance#Network performance evaluation
ASPLOS,VEE,6,Compilers#Performance#File systems management#Operating systems#Memory management#Software testing and debugging
ASPLOS,WISEC,1,"Communication hardware, interfaces and storage"
ASSETS,AUS-CE,1,Human computer interaction
ASSETS,C&C,2,Human-centered computing#Human computer interaction
ASSETS,CHI,8,Interaction paradigms#HCI design and evaluation methods#Human computer interaction#Touch screens#Interaction devices#User centered design#Human-centered computing#Graphical user interfaces
ASSETS,CPR,1,Human computer interaction
ASSETS,CSCW,2,Human-centered computing#Human computer interaction
ASSETS,CSE,1,Human computer interaction
ASSETS,DOC,4,Human-centered computing#HCI design and evaluation methods#Human computer interaction#User centered design
ASSETS,EC,1,Human computer interaction
ASSETS,EICS,7,HCI design and evaluation methods#Human computer interaction#Touch screens#Interaction devices#User centered design#Human-centered computing#Graphical user interfaces
ASSETS,ESEM,2,Human-centered computing#Human computer interaction
ASSETS,ETRA,5,Interaction paradigms#HCI design and evaluation methods#Human computer interaction#Interaction devices#Touch screens
ASSETS,GIS,1,Human computer interaction
ASSETS,GROUP,2,Human-centered computing#Human computer interaction
ASSETS,HotMobile,1,Human computer interaction
ASSETS,HRI,5,Human-centered computing#HCI design and evaluation methods#Human computer interaction#Interaction paradigms#User centered design
ASSETS,HT,2,Interaction paradigms#Human computer interaction
ASSETS,ICMI-MLMI,8,Interaction paradigms#HCI design and evaluation methods#Human computer interaction#Touch screens#Interaction devices#Sound-based input / output#Natural language interfaces#Haptic devices
ASSETS,ICUIMC,1,Human computer interaction
ASSETS,ITiCSE,1,Human computer interaction
ASSETS,IUI,9,Interaction paradigms#HCI design and evaluation methods#Human computer interaction#Touch screens#Interaction devices#User centered design#Human-centered computing#Natural language interfaces#Graphical user interfaces
ASSETS,JCDL,1,Human computer interaction
ASSETS,MM,1,Human computer interaction
ASSETS,MobiSys,1,Human computer interaction
ASSETS,PLoP,1,Human computer interaction
ASSETS,RecSys,1,Human computer interaction
ASSETS,SACMAT,1,Human computer interaction
ASSETS,SUI,7,Interaction paradigms#HCI design and evaluation methods#Human computer interaction#Touch screens#Interaction devices#Human-centered computing#Haptic devices
ASSETS,TEI,7,Interaction paradigms#Human computer interaction#Touch screens#Interaction devices#User centered design#Human-centered computing#Haptic devices
